"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Fox AA",GCST001256,2011-09-30,"PLoS One","Genome-wide assessment for genetic variants associated with ventricular dysfunction after primary coronary artery bypass graft surgery.","Postoperative ventricular dysfunction","postoperative ventricular dysfunction",'-,"1199 European","1388 European",0,NA
"Suzuki S",GCST000125,2007-11-17,"Pharmacogenet Genomics","A novel genetic marker for coronary spasm in women from a genome-wide single nucleotide polymorphism analysis.","Coronary spasm","Coronary Vasospasm",'-,"100 East Asian","311 East Asian",1,NA
"Sampietro ML",GCST001214,2011-08-30,"Hum Mol Genet","A genome-wide association study identifies a region at chromosome 12 as a potential susceptibility locus for restenosis after percutaneous coronary intervention.","Coronary restenosis","Coronary Restenosis",'-,"866 European","3335 European",1,NA
"Akerblom A",GCST002406,2014-04-04,"Am Heart J","Polymorphism of the cystatin C gene in patients with acute coronary syndromes: Results from the PLATelet inhibition and patient Outcomes study.","Plasma cystastin c levels in acute coronary syndrome","acute coronary syndrome",'-,"9801 European57 African unspecified90 Asian unspecified30 NR",'-,2,NA
"Jiang L",GCST90043957,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Coronary atherosclerosis (PheCode 411.4)","coronary atherosclerosis",'-,"456348 European",'-,1,"FTP Download"
"Jeon C",GCST008816,2019-07-12,"Epidemiol Health","Bilirubin and risk of ischemic heart disease in Korea: A two-sample Mendelian randomization study.","Ischemic heart disease","Myocardial Ischemia",'-,"13855 East Asian",'-,0,NA
"Jiang L",GCST90043959,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Other acute and subacute forms of ischemic heart disease (PheCode 411.9)","Myocardial Ischemia",'-,"456348 European",'-,0,"FTP Download"
"Jiang L",GCST90043960,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Other forms of chronic heart disease (PheCode 414)","Myocardial Ischemia",'-,"456348 European",'-,0,"FTP Download"
"Weng L",GCST008436,2015-11-03,"Physiol Genomics","Genetic loci associated with nonobstructive coronary artery disease in Caucasian women.","Nonobstructive coronary artery disease","non-obstructive coronary artery disease",'-,"1335 European",'-,5,NA
"Saw J",GCST90000582,2020-09-04,"Nat Commun","Chromosome 1q21.2 and additional loci influence risk of spontaneous coronary artery dissection and myocardial infarction.","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,"5533 East Asian, European","3370 East Asian, European",17,"FTP Download"
"Saw J",GCST90000583,2020-09-04,"Nat Commun","Chromosome 1q21.2 and additional loci influence risk of spontaneous coronary artery dissection and myocardial infarction.","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,"4895 East Asian, European","2996 East Asian, European",4,"FTP Download"
"Turley TN",GCST010722,2020-05-06,"JAMA Cardiol","Identification of Susceptibility Loci for Spontaneous Coronary Artery Dissection.","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,"1961 European","523 European",7,NA
"Kwon YC",GCST007192,2018-09-28,"Pediatr Cardiol","Identification of the TIFAB Gene as a Susceptibility Locus for Coronary Artery Aneurysm in Patients with Kawasaki Disease.","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome","248 NR","544 NR",1,NA
"Kim JJ",GCST002026,2013-05-16,"J Hum Genet","Identification of KCNN2 as a susceptibility locus for coronary artery aneurysms in Kawasaki disease using genome-wide association analysis.","Coronary arterial lesions in patients with Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome","140 East Asian","223 East Asian",1,NA
"Lin MT",GCST001878,2013-02-27,"Transl Res","A genome-wide association analysis identifies novel susceptibility loci for coronary arterial lesions in patients with Kawasaki disease.","Coronary arterial lesions in patients with Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome","134 East Asian","245 East Asian",0,NA
"Lin YJ",GCST003192,2015-11-01,"Sci Rep","Genetic variants in PLCB4/PLCB1 as susceptibility loci for coronary artery aneurysm formation in Kawasaki disease in Han Chinese in Taiwan.","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome","262 East Asian",'-,2,NA
"Hoggart C",GCST90013538,2021-03-26,"Eur J Hum Genet","Identification of novel locus associated with coronary artery aneurysms and validation of loci for susceptibility to Kawasaki disease.","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome","476 European",'-,6,"FTP Download"
"Kuo HC",GCST003560,2016-05-12,"PLoS One","Genome-Wide Association Study Identifies Novel Susceptibility Genes Associated with Coronary Artery Aneurysm Formation in Kawasaki Disease.","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome","157 East Asian",'-,20,NA
"Bi W",GCST010767,2020-06-23,"Am J Hum Genet","A Fast and Accurate Method for Genome-Wide Time-to-Event Data Analysis and Its Application to UK Biobank.","Coronary atherosclerosis (time to event)","age at diagnosis, coronary atherosclerosis",'-,"282871 European",'-,5,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Li Y",GCST011434,2021-01-14,"Am J Transplant","Donor genetic variants as risk factors for thrombosis after liver transplantation: A genome-wide association study.","Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant","310 European","775 European",11,NA
"Zhou W",GCST008370,2018-08-13,"Nat Genet","Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.","Coronary artery disease","coronary artery disease",'-,"408458 European",'-,40,"FTP Download"
