"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Domain Score","Domain pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Cytoband Score","Cytoband pValue","Transcription Factor Binding Site Score","Transcription Factor Binding Site pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Computational Score","Computational pValue","MicroRNA Score","MicroRNA pValue","Drug Score","Drug pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
1,"APOA1",335,0.9999988069274194,3.872966692486445E-4,0.9999999999999996,0.0087141750580945,0.9999986457145921,1.0E-6,0.9997709995600572,0.0017428350116189002,0.9999982169884098,1.9364833462432224E-4,0.9867273848308308,5.809450038729666E-4,1.0,1.0E-6,0.9999999999999996,0.005034856700232378,0.42629735977244454,0.0156855151045701,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.8965252280604166,5.809450038729666E-4,0.24545711153290825,1.0E-6,0.893642242796399,1.9364833462432224E-4,0.8671262668739295,1.0E-6,0.0,0.6154144074360961,0.9999999999999991,0.015298218435321457,0.774471953556216,0.0226568551510457,0.7319994196796942,0.0
2,"APOE",348,1.0,3.872966692486445E-4,1.0,0.0087141750580945,1.0,1.0E-6,1.0,3.872966692486445E-4,0.9999999993528876,1.0E-6,0.9867273848308308,5.809450038729666E-4,0.9999347897802825,1.0E-6,0.9999999999999996,0.005034856700232378,0.13023374891896375,0.024399690162664602,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.9674856695133633,1.9364833462432224E-4,0.0,0.5023237800154918,0.642798049986407,0.004453911696359412,0.9407449176554405,1.0E-6,0.0,0.6154144074360961,1.0,0.015298218435321457,0.7744719535562157,0.0226568551510457,0.6979098535280462,0.0
3,"PLG",5340,0.5940550690956375,0.0077459333849728895,0.9999999999999316,0.0087141750580945,0.9978582971155846,0.001549186676994578,0.020569762630859353,0.041053446940356314,1.0,1.0E-6,0.9944979067613225,3.872966692486445E-4,0.9278062733172261,0.0013555383423702555,0.9999999999999996,0.005034856700232378,0.0,0.5168474051123161,0.47727483033930956,1.0E-6,0.0,0.5009682416731216,-1.0,0.0,0.6514413533939001,0.004647560030983733,0.24545711153290825,1.0E-6,0.8836442341699442,7.74593338497289E-4,0.0,0.5027110766847405,0.0,0.6154144074360961,0.9999999993212982,0.015298218435321457,0.774471819411733,0.0226568551510457,0.6182583372378772,5.062616992290714E-14
4,"APOC3",345,0.9025651032263007,0.0011618900077459333,1.0,0.0087141750580945,0.9999629738318894,1.9364833462432224E-4,0.9995012094165905,0.0021301316808675446,0.999850622541896,0.002517428350116189,0.0,0.5009682416731216,0.9997369469215782,1.9364833462432224E-4,1.0,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.8569604228602379,9.682416731216112E-4,0.24545711153290825,1.0E-6,0.8602233824890325,9.682416731216112E-4,0.0,0.5027110766847405,0.0,0.6154144074360961,0.9999999999999991,0.015298218435321457,0.7744719535548795,0.0226568551510457,0.6055016325899423,1.26801902311513E-11
5,"APOC2",344,0.9790306099191214,7.74593338497289E-4,1.0,0.0087141750580945,0.9999765377382104,1.9364833462432224E-4,0.9999275757753067,0.001549186676994578,0.9999287499697809,0.0019364833462432224,0.0,0.5009682416731216,0.9989230123834156,3.872966692486445E-4,0.9999999999999996,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.7791625781771093,0.0021301316808675446,0.24545711153290825,1.0E-6,0.44115075662549935,0.007939581719597211,0.0,0.5027110766847405,0.0,0.6154144074360961,0.9999999999999996,0.015298218435321457,0.7665964256494533,0.023237800154918668,0.5811495046785969,3.7098102367849606E-11
6,"APOA4",337,0.9996469975483103,3.872966692486445E-4,1.0,0.0087141750580945,0.999914602896564,3.872966692486445E-4,-1.0,0.0,0.9971696939756263,0.006003098373353989,-1.0,0.0,0.999989636336085,1.0E-6,0.9999999999999996,0.005034856700232378,0.42629735977244454,0.0156855151045701,0.3519188180657345,9.682416731216112E-4,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.687891439211785,0.004453911696359412,0.0,0.5023237800154918,0.5293495560593763,0.006584043377226956,0.0,0.5027110766847405,0.0,0.6154144074360961,0.9999999999999991,0.015298218435321457,0.774471098016335,0.0226568551510457,0.622714418670016,9.151934765583292E-11
7,"CETP",1071,0.9900945189747349,7.74593338497289E-4,0.9999999999999534,0.0087141750580945,0.9587041641400263,0.0052285050348567005,0.9889559877277385,0.0052285050348567005,-1.0,0.0,0.0,0.5009682416731216,0.9998082097785705,1.9364833462432224E-4,1.0,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,-1.0,0.0,0.0,0.5007745933384973,0.3759379000468866,0.014523625096824167,0.24545711153290825,1.0E-6,0.17577722548665511,0.0296281951975213,0.8671262668739295,1.0E-6,0.0,0.6154144074360961,0.9999999999999996,0.015298218435321457,0.774471953556216,0.0226568551510457,0.5666377944988268,1.20577658968557E-10
8,"APOC1",341,0.976245839279844,7.74593338497289E-4,1.0,0.0087141750580945,0.9989025030833182,9.682416731216112E-4,-1.0,0.0,0.9989698210022739,0.004066615027110767,0.0,0.5009682416731216,0.9988997180656248,3.872966692486445E-4,0.9999999999999996,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.9304004059535956,3.872966692486445E-4,0.24545711153290825,1.0E-6,0.6703821973354506,0.0036793183578621223,0.0,0.5027110766847405,0.2731621925126143,0.2308288148721921,0.9999999999999991,0.015298218435321457,0.7659568422572769,0.023237800154918668,0.6078968351558971,1.464077747925785E-10
9,"LPL",4023,0.9992261002744193,3.872966692486445E-4,0.9999999999999907,0.0087141750580945,0.9978348248955038,0.001549186676994578,0.9999999999994524,3.872966692486445E-4,0.999999895696971,1.9364833462432224E-4,0.0,0.5009682416731216,0.9999993679486119,1.0E-6,1.0,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5860918154128029,0.001549186676994578,0.3602276533952188,0.017428350116189,0.0,0.5023237800154918,0.30991188623081733,0.014523625096824167,0.0,0.5027110766847405,0.7958879894785701,0.15898528272656856,0.9999999999999991,0.015298218435321457,0.7744719535562157,0.0226568551510457,0.5866787449196608,5.095643906827263E-10
10,"SCARB1",949,0.996430322893266,3.872966692486445E-4,1.0,0.0087141750580945,0.9466517820327854,0.006003098373353989,-1.0,0.0,0.9999901979707368,5.809450038729666E-4,0.0,0.5009682416731216,0.9998824662323414,1.9364833462432224E-4,0.9999999999999996,0.005034856700232378,0.36749178352236234,0.01820294345468629,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.770917704616084,0.0023237800154918666,0.0,0.5023237800154918,0.18296248052546008,0.027110766847405113,0.8671262668739295,1.0E-6,0.9341524224841616,0.10824941905499613,0.9999999999999991,0.015298218435321457,0.7458474093293107,0.02420604182804028,0.6170821600565897,8.315039767836652E-10
