"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Domain Score","Domain pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Cytoband Score","Cytoband pValue","Transcription Factor Binding Site Score","Transcription Factor Binding Site pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Computational Score","Computational pValue","MicroRNA Score","MicroRNA pValue","Drug Score","Drug pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
1,"CACNA2D1",781,0.9999625086720231,1.9364833462432224E-4,0.9999999999999987,0.009101471727343146,0.999998328883498,3.872966692486445E-4,0.0,0.5,0.30165481608022393,0.008326878388845856,0.0,0.5038729666924865,0.9994155236454043,1.0E-6,0.9999999998867923,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.547701805756461,3.872966692486445E-4,0.0,0.5,0.7422995706585498,0.0011618900077459333,0.0,0.5,0.9999999999999996,0.1167699457784663,0.9999999999999991,0.0023237800154918666,0.9999534383969068,1.0E-6,0.5344763253520266,6.530109786240246E-12
2,"CACNA1D",776,1.0,1.0E-6,1.0,0.009101471727343146,1.0,1.0E-6,0.0,0.5,0.0,0.5044539116963594,0.6956390790468246,0.002517428350116189,1.0,1.0E-6,1.0,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.0,0.5019364833462432,0.0,0.5,0.48362428565658466,0.006777691711851278,-1.0,0.0,0.9999999999999996,0.1167699457784663,0.9999999999999996,0.0023237800154918666,0.9742831896074395,0.0056158017041053445,0.5574672827810585,3.125022463024152E-11
3,"GRM2",2912,0.9999993151550111,1.0E-6,0.9999999950194334,0.009101471727343146,0.9992028060040025,0.0036793183578621223,-1.0,0.0,0.5625996872613468,0.0013555383423702555,0.6955388812675652,0.002517428350116189,0.6752201782230429,0.002711076684740511,1.0,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.7215509374396384,7.74593338497289E-4,0.0,0.5019364833462432,0.0,0.5,0.6918522629761863,0.001549186676994578,0.0,0.5,0.999999204273531,0.12044926413632842,0.999999999999996,0.0023237800154918666,0.9875137174725166,0.004647560030983733,0.599499611485978,9.328369188210672E-10
4,"CACNA1E",777,0.9999432243954985,1.9364833462432224E-4,0.9999999999998197,0.009101471727343146,0.9999983116023228,3.872966692486445E-4,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.6954713269132713,0.002517428350116189,0.640627455443075,0.0029047250193648335,0.9999998796024073,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.547701805756461,3.872966692486445E-4,0.0,0.5,0.3396751157329839,0.015491866769945779,-1.0,0.0,1.0,0.1167699457784663,1.0,0.0023237800154918666,0.1613372990310798,0.03427575522850503,0.5675341774703669,1.0999549049373059E-9
5,"CACNA1S",779,0.9999432243954985,1.9364833462432224E-4,0.9999382484154775,0.013555383423702556,0.9999587657998493,0.001549186676994578,0.0,0.5,0.0,0.5044539116963594,0.6956053198643013,0.002517428350116189,0.9999969050064563,1.0E-6,0.9999999999999996,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.547701805756461,3.872966692486445E-4,0.0,0.5,0.0,0.5737800154918667,-1.0,0.0,0.7397412942614721,0.22850503485670023,0.9999999999999991,0.0023237800154918666,0.0,0.5170410534469404,0.4984114537659255,1.5993179558471127E-8
6,"TRPC4",7223,0.9932111927030338,0.0036793183578621223,0.999997296001553,0.009876065065840434,0.9681349452897983,0.011231603408210689,-1.0,0.0,0.5625996872613468,0.0013555383423702555,0.17855564625040538,0.0077459333849728895,0.0,0.5040666150271108,0.9910861917337715,0.013942680092951201,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.7741344146012075,1.0E-6,0.0,0.5,0.8667965268062423,1.0E-6,-1.0,0.0,0.9999999199494927,0.1175445391169636,0.9711685159767717,0.014329976762199844,0.0,0.5170410534469404,0.5101011152499622,2.8916015470947798E-8
7,"ATP2B2",491,0.9812843729454114,0.006196746707978312,0.9999999959718261,0.009101471727343146,0.9999992695674893,1.9364833462432224E-4,-1.0,0.0,0.0,0.5044539116963594,0.6945032417388377,0.002517428350116189,0.6702877262933928,0.002711076684740511,0.9997657183521758,0.005809450038729667,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.7057791183205784,7.74593338497289E-4,0.547701805756461,3.872966692486445E-4,0.0,0.5,0.14214225664085448,0.04860573199070488,0.0,0.5,0.9999999999999996,0.1167699457784663,0.9999999872826221,0.0023237800154918666,0.6419758329942058,0.015298218435321457,0.5558465658178043,4.607914061427465E-8
8,"GRIA4",2893,0.9769053039473542,0.006971340046475601,0.9963966360932854,0.023625096824167312,0.9999996785844015,1.0E-6,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.3537917445226273,0.006777691711851278,0.9999800999293451,0.004066615027110767,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.4721351981258522,0.001549186676994578,0.0,0.5,0.3972021672215982,0.012587141750580944,0.0,0.5,0.9999999999999996,0.1167699457784663,1.0,0.0023237800154918666,0.9975399587643329,0.002711076684740511,0.47432044583766486,8.793145611640796E-8
9,"KCNA4",3739,0.9977583848729201,0.002517428350116189,0.9584374392677201,0.037761425251742836,0.999999705285398,1.0E-6,0.0,0.5,0.0,0.5044539116963594,0.4707460247958948,0.006777691711851278,0.0,0.5040666150271108,0.9940003673975031,0.012393493415956624,0.0,0.5,0.0,0.5032920216886135,0.43014537113872076,0.0034856700232378003,0.5060380369883208,0.0019364833462432224,0.47496432033904473,5.809450038729666E-4,0.0,0.5,0.5676352557421572,0.003292021688613478,0.0,0.5,0.9999999999999982,0.1167699457784663,0.9898551212412202,0.009876065065840434,0.0,0.5170410534469404,0.4616420367432035,9.976807724410008E-8
10,"CACNA2D3",55799,0.9999754502923925,1.9364833462432224E-4,0.9839932977906355,0.031758326878388844,0.9803960333961786,0.009295120061967466,0.0,0.5,0.0,0.5044539116963594,0.0,0.5038729666924865,0.9994155236454043,1.0E-6,0.9997316479737022,0.006003098373353989,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.547701805756461,3.872966692486445E-4,0.0,0.5,0.4453593778353589,0.009101471727343146,0.0,0.5,0.9999999999999996,0.1167699457784663,0.999999999999996,0.0023237800154918666,0.0,0.5170410534469404,0.4493928685631164,1.1165259983236808E-7
