"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs11265461-<b>C</b>,"2 x 10-7",,0.41,1.45,'-,[1.26-1.67],"SETP9, SLAMF1","Schizophrenia (treatment resistant)","treatment refractory schizophrenia",'-,GCST001458,1:160660353
rs230529-<b>T</b>,"2 x 10-7",,0.47,1.45,'-,[1.26-1.66],NFKB1,"Schizophrenia (treatment resistant)","treatment refractory schizophrenia",'-,GCST001458,4:102536261
rs2237457-<b>T</b>,"6 x 10-7","(Recessive model)",0.36,1.74,'-,[NR],GRB10,"Schizophrenia (treatment resistant)","treatment refractory schizophrenia",'-,GCST002604,7:50658447
rs2103655-<b>A</b>,"1 x 10-10",(EA),NR,1.0796,'-,[1.06-1.1],"ACTR5, PPP1R16B",Schizophrenia,schizophrenia,'-,GCST007201,20:38797315
rs7893279-<b>T</b>,"1 x 10-10",(EA),NR,1.119,'-,[1.08-1.15],CACNB2,Schizophrenia,schizophrenia,'-,GCST007201,10:18456176
rs760648-<b>A</b>,"1 x 10-10",(EA),NR,1.079,'-,[1.06-1.1],TCF20,Schizophrenia,schizophrenia,'-,GCST007201,22:42175022
rs3617-<b>C</b>,"1 x 10-10",(EA),NR,1.073,'-,[1.05-1.09],ITIH3,Schizophrenia,schizophrenia,'-,GCST007201,3:52799789
rs2414718-<b>A</b>,"2 x 10-10",(EA),NR,1.072,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,15:61570934
rs28437878-<b>C</b>,"2 x 10-10",(EA),NR,1.087,'-,[1.06-1.11],HYKK,Schizophrenia,schizophrenia,'-,GCST007201,15:78515530
rs12691307-<b>A</b>,"2 x 10-10",(EA),NR,1.075,'-,[1.05-1.1],"KCTD13, TMEM219",Schizophrenia,schizophrenia,'-,GCST007201,16:29928556
rs12704290-<b>G</b>,"3 x 10-10",(EA),NR,1.112,'-,[1.08-1.14],"GRM3, GRM3-AS1",Schizophrenia,schizophrenia,'-,GCST007201,7:86798310
rs4271249-<b>T</b>,"3 x 10-10",(EA),NR,1.074,'-,[1.05-1.1],DPYD,Schizophrenia,schizophrenia,'-,GCST007201,1:97933063
rs6918354-<b>T</b>,"4 x 10-10",(EA),NR,1.081,'-,[1.06-1.11],"CMAHP, CARMIL1",Schizophrenia,schizophrenia,'-,GCST007201,6:25444386
rs758117-<b>C</b>,"8 x 10-10",,NR,1.0695187,'-,[1.05-1.09],CACNA1C,Schizophrenia,schizophrenia,'-,GCST007201,12:2404143
rs302321-<b>C</b>,"7 x 10-10",,NR,1.0626993,'-,[1.04-1.08],TMTC1,Schizophrenia,schizophrenia,'-,GCST007201,12:29775455
rs10878577-<b>A</b>,"2 x 10-7",,NR,1.063,'-,[1.04-1.09],"RAB11AP2, GGTA2P",Schizophrenia,schizophrenia,'-,GCST007201,12:67200061
rs4240748-<b>G</b>,"1 x 10-9",,NR,1.0626993,'-,[1.04-1.08],LINC02404,Schizophrenia,schizophrenia,'-,GCST007201,12:91853010
rs4766428-<b>T</b>,"3 x 10-10",,NR,1.07,'-,[1.05-1.09],ATP2A2,Schizophrenia,schizophrenia,'-,GCST007201,12:110285440
rs28607014-<b>C</b>,"1 x 10-7",,NR,1.0537407,'-,[1.03-1.07],NOS1,Schizophrenia,schizophrenia,'-,GCST007201,12:117270806
rs1615350-<b>C</b>,"1 x 10-17",,NR,1.0928961,'-,[1.07-1.11],MPHOSPH9,Schizophrenia,schizophrenia,'-,GCST007201,12:123165788
rs34102591-<b>G</b>,"1 x 10-6",,NR,1.0626993,'-,[1.04-1.09],"RFLNA, ZNF664",Schizophrenia,schizophrenia,'-,GCST007201,12:123996254
rs1411740-<b>A</b>,"8 x 10-7",,NR,1.051,'-,[1.03-1.07],LINC00571,Schizophrenia,schizophrenia,'-,GCST007201,13:38256005
rs10148671-<b>C</b>,"3 x 10-7",,NR,1.0526316,'-,[1.03-1.07],LINC02326,Schizophrenia,schizophrenia,'-,GCST007201,14:29000167
rs2383377-<b>A</b>,"1 x 10-9",,NR,1.09,'-,[1.06-1.12],AKAP6,Schizophrenia,schizophrenia,'-,GCST007201,14:32788708
rs12431410-<b>C</b>,"8 x 10-8",,NR,1.0548522,'-,[1.04-1.07],RTN1,Schizophrenia,schizophrenia,'-,GCST007201,14:59699304
rs11625793-<b>G</b>,"2 x 10-6",,NR,1.0504202,'-,[1.03-1.07],NCOA4P1,Schizophrenia,schizophrenia,'-,GCST007201,14:65849165
rs2526882-<b>G</b>,"2 x 10-7",,NR,1.0537407,'-,[1.03-1.07],PCNX1,Schizophrenia,schizophrenia,'-,GCST007201,14:70907985
rs35607894-<b>A</b>,"6 x 10-10",,NR,1.09,'-,[1.06-1.12],RGS6,Schizophrenia,schizophrenia,'-,GCST007201,14:71941921
rs182812355-<b>A</b>,"7 x 10-23",(EA),NR,1.206,'-,[1.17-1.24],TRIM27,Schizophrenia,schizophrenia,'-,GCST007201,6:28913267
rs9467711-<b>A</b>,"2 x 10-22",(EA),NR,1.195,'-,[1.16-1.23],"H3C9P, BTN3A2",Schizophrenia,schizophrenia,'-,GCST007201,6:26332377
rs115123779-<b>G</b>,"4 x 10-22",(EA),NR,1.189,'-,[1.15-1.22],LINC02829,Schizophrenia,schizophrenia,'-,GCST007201,6:29510044
rs116408368-<b>T</b>,"1 x 10-21",(EA),NR,1.203,'-,[1.17-1.24],TRIM26,Schizophrenia,schizophrenia,'-,GCST007201,6:30202733
rs401754-<b>T</b>,"2 x 10-21",(EA),NR,1.188,'-,[1.15-1.22],H2AC14,Schizophrenia,schizophrenia,'-,GCST007201,6:27814760
rs16894116-<b>G</b>,"3 x 10-21",(EA),NR,1.141,'-,[1.11-1.17],COX11P1,Schizophrenia,schizophrenia,'-,GCST007201,6:28447190
rs115031589-<b>G</b>,"3 x 10-20",(EA),NR,1.142,'-,[1.11-1.17],ZBED9,Schizophrenia,schizophrenia,'-,GCST007201,6:28594812
rs115123027-<b>T</b>,"4 x 10-20",(EA),NR,1.179,'-,[1.14-1.21],"MUCL3, SFTA2",Schizophrenia,schizophrenia,'-,GCST007201,6:30939558
rs142536810-<b>C</b>,"5 x 10-20",(EA),NR,1.179,'-,[1.14-1.21],"HSPA1B, HSPA1A",Schizophrenia,schizophrenia,'-,GCST007201,6:31819390
rs116509918-<b>G</b>,"6 x 10-20",(EA),NR,1.179,'-,[1.14-1.21],"LINC02571, HLA-B",Schizophrenia,schizophrenia,'-,GCST007201,6:31345252
rs34104395-<b>C</b>,"9 x 10-20",(EA),NR,1.19,'-,[1.15-1.23],BTN1A1P1,Schizophrenia,schizophrenia,'-,GCST007201,6:26478024
rs116396069-<b>C</b>,"3 x 10-19",(EA),NR,1.189,'-,[1.15-1.23],"LINC02570, LINC00243",Schizophrenia,schizophrenia,'-,GCST007201,6:30830920
rs77296290-<b>C</b>,"4 x 10-19",(EA),NR,1.149,'-,[1.12-1.18],HLA-DQB1,Schizophrenia,schizophrenia,'-,GCST007201,6:32667519
rs149979052-<b>C</b>,"7 x 10-19",(EA),NR,1.161,'-,[1.13-1.19],PSORS1C1,Schizophrenia,schizophrenia,'-,GCST007201,6:31137370
rs115406947-<b>G</b>,"2 x 10-18",(EA),NR,1.163,'-,[1.13-1.2],HLA-DRB9,Schizophrenia,schizophrenia,'-,GCST007201,6:32464869
rs35741362-<b>T</b>,"2 x 10-18",(EA),NR,1.164,'-,[1.13-1.2],LINC00240,Schizophrenia,schizophrenia,'-,GCST007201,6:27039908
rs1702294-<b>C</b>,"1 x 10-17",(EA),NR,1.126,'-,[1.1-1.15],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs144373461-<b>C</b>,"2 x 10-17",(EA),NR,1.166,'-,[1.13-1.2],"IFITM4P, HLA-V",Schizophrenia,schizophrenia,'-,GCST007201,6:29783228
rs115344853-<b>A</b>,"2 x 10-17",(EA),NR,1.147,'-,[1.12-1.18],NOTCH4,Schizophrenia,schizophrenia,'-,GCST007201,6:32197667
rs138488080-<b>G</b>,"3 x 10-16",(EA),NR,1.141,'-,[1.11-1.17],"MOG, SUMO2P1",Schizophrenia,schizophrenia,'-,GCST007201,6:29638984
rs114618162-<b>G</b>,"6 x 10-16",(EA),NR,1.126,'-,[1.1-1.15],LINC01149,Schizophrenia,schizophrenia,'-,GCST007201,6:31446032
rs114261345-<b>A</b>,"9 x 10-16",(EA),NR,1.169,'-,[1.13-1.21],FLOT1,Schizophrenia,schizophrenia,'-,GCST007201,6:30730764
rs115687605-<b>C</b>,"2 x 10-15",(EA),NR,1.18,'-,[1.14-1.22],"MICC, UBQLN1P1",Schizophrenia,schizophrenia,'-,GCST007201,6:30397852
rs56275179-<b>G</b>,"2 x 10-15",(EA),NR,1.15,'-,[1.12-1.18],HFE,Schizophrenia,schizophrenia,'-,GCST007201,6:26089112
rs144959664-<b>G</b>,"1 x 10-14",(EA),NR,1.174,'-,[1.13-1.21],"PPP1R10, ABCF1",Schizophrenia,schizophrenia,'-,GCST007201,6:30598076
rs13217239-<b>T</b>,"5 x 10-14",(EA),NR,1.091,'-,[1.07-1.11],POM121L2,Schizophrenia,schizophrenia,'-,GCST007201,6:27287188
rs629444-<b>C</b>,"2 x 10-13",(EA),NR,1.141,'-,[1.11-1.18],H2BP5,Schizophrenia,schizophrenia,'-,GCST007201,6:25885586
rs9636107-<b>G</b>,"2 x 10-13",(EA),NR,1.083,'-,[1.06-1.1],TCF4,Schizophrenia,schizophrenia,'-,GCST007201,18:55532886
rs12887734-<b>T</b>,"4 x 10-13",(EA),NR,1.0923,'-,[1.07-1.12],"COA8, KLC1",Schizophrenia,schizophrenia,'-,GCST007201,14:103580497
rs28681284-<b>C</b>,"6 x 10-13",(EA),NR,1.107,'-,[1.08-1.13],CHRNA3,Schizophrenia,schizophrenia,'-,GCST007201,15:78616223
rs1892252-<b>C</b>,"7 x 10-13",(EA),NR,1.121,'-,[1.09-1.15],SLC17A4,Schizophrenia,schizophrenia,'-,GCST007201,6:25772411
rs2239063-<b>A</b>,"2 x 10-8",(EA),NR,1.071,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs16867576-<b>A</b>,"2 x 10-8",(EA),NR,1.101,'-,[1.07-1.13],MEF2C-AS1,Schizophrenia,schizophrenia,'-,GCST007201,5:89450514
rs10860964-<b>T</b>,"2 x 10-8",(EA),NR,1.065,'-,[1.04-1.09],C12orf42,Schizophrenia,schizophrenia,'-,GCST007201,12:103202677
rs4711350-<b>G</b>,"2 x 10-8",(EA),NR,1.082,'-,[1.05-1.11],LEMD2,Schizophrenia,schizophrenia,'-,GCST007201,6:33773939
rs4445544-<b>C</b>,"3 x 10-8",(EA),NR,1.074,'-,[1.05-1.1],NSUN6,Schizophrenia,schizophrenia,'-,GCST007201,10:18587155
rs7801375-<b>G</b>,"3 x 10-8",(EA),NR,1.087,'-,[1.06-1.12],CAPZA1P4,Schizophrenia,schizophrenia,'-,GCST007201,7:131882504
rs3735025-<b>T</b>,"3 x 10-8",(EA),NR,1.0647,'-,[1.04-1.09],DGKI,Schizophrenia,schizophrenia,'-,GCST007201,7:137390098
rs6846161-<b>A</b>,"4 x 10-8",(EA),NR,1.071,'-,[1.05-1.1],GPM6A,Schizophrenia,schizophrenia,'-,GCST007201,4:175945308
rs1191551-<b>T</b>,"4 x 10-8",(EA),NR,1.0743,'-,[1.05-1.1],"PRKD1, RNU11-5P",Schizophrenia,schizophrenia,'-,GCST007201,14:29531199
rs715170-<b>C</b>,"5 x 10-8",(EA),NR,1.069,'-,[1.05-1.09],"LINC01905, LINC01539",Schizophrenia,schizophrenia,'-,GCST007201,18:56128283
rs11778040-<b>C</b>,"5 x 10-8",(EA),NR,1.079,'-,[1.05-1.11],GULOP,Schizophrenia,schizophrenia,'-,GCST007201,8:27562290
rs2767713-<b>C</b>,"6 x 10-8",(EA),NR,1.071,'-,[1.05-1.1],DDX10P2,Schizophrenia,schizophrenia,'-,GCST007201,9:82184622
rs1353545-<b>C</b>,"7 x 10-8",(EA),NR,1.064,'-,[1.04-1.09],FHIT,Schizophrenia,schizophrenia,'-,GCST007201,3:60302116
rs7193419-<b>T</b>,"7 x 10-8",(EA),NR,1.0605,'-,[1.04-1.08],"LINC02165, LINC02858",Schizophrenia,schizophrenia,'-,GCST007201,16:63663230
rs28730912-<b>T</b>,"7 x 10-8",(EA),NR,1.071,'-,[1.05-1.1],'-,Schizophrenia,schizophrenia,'-,GCST007201,3:162062168
rs6670165-<b>T</b>,"8 x 10-8",(EA),NR,1.0771,'-,[1.05-1.1],"LINC01645, BRINP2",Schizophrenia,schizophrenia,'-,GCST007201,1:177310985
rs3858402-<b>G</b>,"9 x 10-8",(EA),NR,1.064,'-,[1.04-1.09],LINC02715,Schizophrenia,schizophrenia,'-,GCST007201,11:109685112
rs77502336-<b>C</b>,"1 x 10-7",(EA),NR,1.0642,'-,[1.04-1.09],GRAMD1B,Schizophrenia,schizophrenia,'-,GCST007201,11:123523928
rs12129037-<b>T</b>,"1 x 10-7",(EA),NR,1.0971,'-,[1.06-1.13],"ADAMTSL4-AS2, FALEC",Schizophrenia,schizophrenia,'-,GCST007201,1:150519638
rs7619427-<b>G</b>,"4 x 10-7",,NR,1.0857763,'-,[1.05-1.12],RNU6-367P,Schizophrenia,schizophrenia,'-,GCST007201,3:44035549
rs9882618-<b>T</b>,"2 x 10-6",,NR,1.097,'-,[1.06-1.14],"GNAT1, SLC38A3",Schizophrenia,schizophrenia,'-,GCST007201,3:50200112
rs2577831-<b>C</b>,"2 x 10-13",,NR,1.0695187,'-,[1.05-1.09],PBRM1,Schizophrenia,schizophrenia,'-,GCST007201,3:52594040
rs2358740-<b>G</b>,"3 x 10-7",,NR,1.0515248,'-,[1.03-1.07],CACNA1D,Schizophrenia,schizophrenia,'-,GCST007201,3:53421542
rs1353545-<b>C</b>,"2 x 10-8",,NR,1.062,'-,[1.04-1.08],FHIT,Schizophrenia,schizophrenia,'-,GCST007201,3:60302116
rs832190-<b>C</b>,"5 x 10-9",,NR,1.059322,'-,[1.04-1.08],THOC7,Schizophrenia,schizophrenia,'-,GCST007201,3:63856953
rs7372960-<b>T</b>,"4 x 10-7",,NR,1.065,'-,[1.04-1.09],FOXP1,Schizophrenia,schizophrenia,'-,GCST007201,3:71205600
rs1838472-<b>C</b>,"4 x 10-7",,NR,1.0526316,'-,[1.03-1.07],KALRN,Schizophrenia,schizophrenia,'-,GCST007201,3:124332814
rs6804239-<b>C</b>,"9 x 10-10",,NR,1.0604454,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,3:162062700
rs66691851-<b>C</b>,"2 x 10-13",,NR,1.0752687,'-,[1.06-1.09],STAG1,Schizophrenia,schizophrenia,'-,GCST007201,3:136435986
rs192812-<b>C</b>,"3 x 10-8",,NR,1.0570824,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,3:161774043
rs4391122-<b>A</b>,"9 x 10-13",(EA),NR,1.0811,'-,[1.06-1.1],LINC02057,Schizophrenia,schizophrenia,'-,GCST007201,5:61302716
rs1150754-<b>C</b>,"3 x 10-12",(EA),NR,1.117,'-,[1.09-1.15],TNXB,Schizophrenia,schizophrenia,'-,GCST007201,6:32082981
rs9607782-<b>A</b>,"4 x 10-12",(EA),NR,1.0928,'-,[1.07-1.12],EP300-AS1,Schizophrenia,schizophrenia,'-,GCST007201,22:41191552
rs114377514-<b>C</b>,"4 x 10-12",(EA),NR,1.112,'-,[1.08-1.14],"HLA-DQB2, HLA-DOB",Schizophrenia,schizophrenia,'-,GCST007201,6:32793729
rs111312615-<b>T</b>,"4 x 10-12",(EA),NR,1.137,'-,[1.1-1.17],"HLA-W, HLA-A",Schizophrenia,schizophrenia,'-,GCST007201,6:29955302
rs214467-<b>A</b>,"5 x 10-12",(EA),NR,1.0833,'-,[1.06-1.11],IMMP2L,Schizophrenia,schizophrenia,'-,GCST007201,7:111218212
rs114508985-<b>G</b>,"5 x 10-12",(EA),NR,1.101,'-,[1.07-1.13],"HLA-Z, HLA-DMB",Schizophrenia,schizophrenia,'-,GCST007201,6:32932241
rs55661361-<b>G</b>,"1 x 10-11",(EA),NR,1.082,'-,[1.06-1.1],NRGN,Schizophrenia,schizophrenia,'-,GCST007201,11:124744061
rs75059851-<b>A</b>,"2 x 10-11",(EA),NR,1.0956,'-,[1.07-1.12],IGSF9B,Schizophrenia,schizophrenia,'-,GCST007201,11:133952674
rs7907645-<b>T</b>,"2 x 10-11",(EA),NR,1.155,'-,[1.11-1.2],"ARL3, TRIM8",Schizophrenia,schizophrenia,'-,GCST007201,10:102664043
rs5995756-<b>T</b>,"3 x 10-11",(EA),NR,1.075,'-,[1.05-1.1],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs17514846-<b>C</b>,"6 x 10-11",(EA),NR,1.076,'-,[1.05-1.1],FURIN,Schizophrenia,schizophrenia,'-,GCST007201,15:90873320
rs12902973-<b>G</b>,"9 x 10-11",(EA),NR,1.082,'-,[1.06-1.11],UBE2Q2P1,Schizophrenia,schizophrenia,'-,GCST007201,15:84562751
rs28758902-<b>T</b>,"1 x 10-10",(EA),NR,1.073,'-,[1.05-1.09],"TCF4, LINC01415",Schizophrenia,schizophrenia,'-,GCST007201,18:55740956
rs7915131-<b>C</b>,"3 x 10-7",,NR,1.0504202,'-,[1.03-1.07],ALDH7A1P4,Schizophrenia,schizophrenia,'-,GCST007201,10:62658896
rs111364339-<b>C</b>,"1 x 10-8",,NR,1.1061947,'-,[1.07-1.14],RNU6-543P,Schizophrenia,schizophrenia,'-,GCST007201,10:63098112
rs11191424-<b>G</b>,"3 x 10-16",,NR,1.0775862,'-,[1.06-1.1],BORCS7-ASMT,Schizophrenia,schizophrenia,'-,GCST007201,10:102866129
rs10786736-<b>G</b>,"8 x 10-12",,NR,1.0952903,'-,[1.07-1.12],"NT5C2, CNNM2",Schizophrenia,schizophrenia,'-,GCST007201,10:103089359
rs17234749-<b>G</b>,"2 x 10-8",,NR,1.0582011,'-,[1.04-1.08],"LINC02686, Y_RNA",Schizophrenia,schizophrenia,'-,GCST007201,11:24360352
rs61882743-<b>G</b>,"2 x 10-11",,NR,1.0928961,'-,[1.07-1.12],AMBRA1,Schizophrenia,schizophrenia,'-,GCST007201,11:46527204
rs9420-<b>A</b>,"2 x 10-8",,NR,1.061,'-,[1.04-1.08],SELENOH,Schizophrenia,schizophrenia,'-,GCST007201,11:57742822
rs7934083-<b>C</b>,"2 x 10-7",,NR,1.0548522,'-,[1.03-1.08],MTND4LP18,Schizophrenia,schizophrenia,'-,GCST007201,11:81492479
rs1864774-<b>C</b>,"2 x 10-8",,NR,1.0548522,'-,[1.04-1.07],DLG2,Schizophrenia,schizophrenia,'-,GCST007201,11:83488233
rs12421382-<b>C</b>,"2 x 10-8",,NR,1.0570824,'-,[1.04-1.08],C11orf87,Schizophrenia,schizophrenia,'-,GCST007201,11:109507345
rs4987094-<b>A</b>,"2 x 10-8",,NR,1.072,'-,[1.05-1.1],TTC12,Schizophrenia,schizophrenia,'-,GCST007201,11:113345201
rs2514218-<b>C</b>,"1 x 10-10",,NR,1.0752687,'-,[1.05-1.1],DRD2,Schizophrenia,schizophrenia,'-,GCST007201,11:113522272
rs77502336-<b>C</b>,"1 x 10-10",,NR,1.068,'-,[1.05-1.09],GRAMD1B,Schizophrenia,schizophrenia,'-,GCST007201,11:123523928
rs55661361-<b>G</b>,"4 x 10-13",,NR,1.0752687,'-,[1.06-1.09],NRGN,Schizophrenia,schizophrenia,'-,GCST007201,11:124744061
rs10894308-<b>G</b>,"9 x 10-9",,NR,1.0582011,'-,[1.04-1.08],"NTM, RN7SL167P",Schizophrenia,schizophrenia,'-,GCST007201,11:131022000
rs75059851-<b>A</b>,"1 x 10-12",,NR,1.098,'-,[1.07-1.12],IGSF9B,Schizophrenia,schizophrenia,'-,GCST007201,11:133952674
