"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs75500877-<b>T</b>,"2 x 10-10",,0.0485,'-,"0.0207 unit increase",[0.014-0.027],CACNA1E,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:181627615
rs3766979-<b>A</b>,"1 x 10-8",,0.3386,'-,"0.0085 unit increase",[0.0056-0.0114],CACNA1E,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:181667462
rs12126231-<b>A</b>,"5 x 10-11",,0.6094,'-,"0.0095 unit increase",[0.0068-0.0122],EDEM3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:184729682
rs1171040-<b>A</b>,"5 x 10-11",,0.7866,'-,"0.0113 unit decrease",[0.008-0.0146],BRINP3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:190431854
rs4658019-<b>T</b>,"2 x 10-9",,0.4531,'-,"0.0084 unit increase",[0.0057-0.0111],KCNT2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:196180806
rs1747817-<b>T</b>,"2 x 10-8",,0.7614,'-,"0.0092 unit decrease",[0.0061-0.0123],DENND1B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:197742362
rs12145078-<b>A</b>,"3 x 10-13",,0.2074,'-,"0.0127 unit decrease",[0.0094-0.016],"DENND1B, C1orf53","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:197853847
rs34780702-<b>A</b>,"2 x 10-11",,0.7635,'-,"0.0111 unit increase",[0.0078-0.0144],LHX9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:197938424
rs1890132-<b>T</b>,"7 x 10-9",,0.7056,'-,"0.0089 unit decrease",[0.006-0.0118],LINC02789,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:199458193
rs8024-<b>A</b>,"1 x 10-14",,0.3294,'-,"0.0115 unit decrease",[0.0086-0.0144],IPO9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:201876447
rs11588857-<b>A</b>,"4 x 10-31",,0.2131,'-,"0.0199 unit increase",[0.017-0.023],LRRN2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:204617919
rs884108-<b>A</b>,"2 x 10-8",,0.222,'-,"0.0094 unit decrease",[0.0061-0.0127],LRRN2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:204622109
rs12123293-<b>T</b>,"4 x 10-9",,0.6476,'-,"0.0086 unit increase",[0.0057-0.0115],KCNH1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:210739493
rs3111251-<b>T</b>,"4 x 10-10",,0.4325,'-,"0.009 unit decrease",[0.0063-0.0117],"PRELID1P5, RCOR3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:211236502
rs78365243-<b>T</b>,"4 x 10-8",,0.9513,'-,"0.0181 unit increase",[0.012-0.025],"SLC30A1, RD3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:211564608
rs71646142-<b>T</b>,"6 x 10-9",,0.1893,'-,"0.0104 unit increase",[0.0069-0.0139],"DTL, LINC02608","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:212195886
rs12568153-<b>T</b>,"4 x 10-9",,0.2902,'-,"0.0091 unit decrease",[0.0062-0.012],VASH2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:212978238
rs1391513-<b>T</b>,"5 x 10-10",,0.6911,'-,"0.0095 unit decrease",[0.0066-0.0124],ESRRG,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:216519921
rs4846724-<b>A</b>,"3 x 10-12",,0.5347,'-,"0.0098 unit increase",[0.0071-0.0125],"LINC01655, DUSP10","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:221794475
